tecnico;tempo
Abel Ferreira;44
Abel Ferreira;56
Abel Ferreira;69
Abel Ferreira;55
Abel Ferreira;64
Abel Ferreira;61
Abel Ferreira;59
Abel Ferreira;59
Abel Ferreira;45
Abel Ferreira;62
Abel Ferreira;45
Abel Ferreira;45
Abel Ferreira;45
Abel Ferreira;69
Abel Ferreira;45
Abel Ferreira;64
Abel Ferreira;60
Abel Ferreira;72
Abel Ferreira;55
Abel Ferreira;53
Abel Ferreira;25
Abel Ferreira;45
Abel Ferreira;45
Abel Ferreira;66
Abel Ferreira;60
Abel Ferreira;57
Abel Ferreira;45
Abel Ferreira;45
Abel Ferreira;31
Abel Ferreira;79
Abel Ferreira;45
Abel Ferreira;65
Abel Ferreira;67
Abel Ferreira;76
Abel Ferreira;45
Abel Ferreira;61
Abel Ferreira;45
Abel Ferreira;83
Alberto Valentim;45
Alberto Valentim;58
Alberto Valentim;45
Alberto Valentim;59
Alberto Valentim;75
Alberto Valentim;18
Alberto Valentim;66
Alberto Valentim;45
Alberto Valentim;63
Alberto Valentim;40
Alberto Valentim;45
Alberto Valentim;73
Alberto Valentim;59
Alberto Valentim;45
Alberto Valentim;24
Alberto Valentim;63
António Oliveira;65
António Oliveira;73
António Oliveira;76
António Oliveira;79
António Oliveira;12
António Oliveira;60
António Oliveira;45
António Oliveira;60
António Oliveira;76
António Oliveira;61
António Oliveira;45
António Oliveira;20
António Oliveira;63
António Oliveira;57
António Oliveira;53
António Oliveira;45
António Oliveira;45
António Oliveira;45
António Oliveira;64
Bruno Lopes;54
Cauan;28
Cauan;49
Cuca;62
Cuca;58
Cuca;69
Cuca;77
Cuca;5
Cuca;45
Cuca;45
Cuca;68
Cuca;62
Cuca;31
Cuca;62
Cuca;45
Cuca;67
Cuca;50
Cuca;57
Cuca;64
Cuca;35
Cuca;67
Cuca;45
Cuca;76
Cuca;16
Cuca;45
Cuca;57
Cuca;48
Cuca;62
Cuca;45
Cuca;45
Cuca;72
Cuca;59
Cuca;61
Cuca;60
Cuca;45
Cuca;69
Cuca;45
Cuca;78
Cuca;45
Cuca;67
Cuca;67
Dado Cavalcanti;73
Dado Cavalcanti;56
Dado Cavalcanti;68
Dado Cavalcanti;20
Dado Cavalcanti;31
Dado Cavalcanti;45
Dado Cavalcanti;45
Dado Cavalcanti;29
Dado Cavalcanti;63
Dado Cavalcanti;45
Dado Cavalcanti;62
Dado Cavalcanti;65
Dado Cavalcanti;63
Dado Cavalcanti;71
