tecnico,,tempo
Abel Ferreira,16,73
Abel Ferreira,20,84
Abel Ferreira,38,[]
Abel Ferreira,60,56
Abel Ferreira,91,76
Abel Ferreira,96,76
Abel Ferreira,118,60
Abel Ferreira,139,59
Abel Ferreira,160,45
Abel Ferreira,170,62
Abel Ferreira,189,59
Abel Ferreira,220,62
Abel Ferreira,238,80
Abel Ferreira,254,69
Abel Ferreira,273,67
Abel Ferreira,304,69
Abel Ferreira,324,67
Abel Ferreira,338,73
Abel Ferreira,376,67
Abel Ferreira,385,61
Abel Ferreira,411,73
Abel Ferreira,427,69
Abel Ferreira,449,68
Abel Ferreira,460,67
Abel Ferreira,491,60
Abel Ferreira,507,81
Abel Ferreira,527,45
Abel Ferreira,573,45
Abel Ferreira,585,59
Abel Ferreira,608,79
Abel Ferreira,623,69
Abel Ferreira,642,70
Abel Ferreira,662,83
Abel Ferreira,674,84
Abel Ferreira,695,71
Abel Ferreira,709,82
Abel Ferreira,733,80
Abel Ferreira,744,[]
Alberto Valentim,0,79
Alberto Valentim,235,67
Alberto Valentim,255,70
Alberto Valentim,277,76
Alberto Valentim,287,89
Alberto Valentim,301,45
Alberto Valentim,318,73
Alberto Valentim,356,80
Alberto Valentim,364,80
Alberto Valentim,605,76
Alberto Valentim,626,67
Alberto Valentim,647,79
Alberto Valentim,675,83
Alberto Valentim,692,71
Alberto Valentim,719,59
Alberto Valentim,727,74
António Oliveira,42,81
António Oliveira,59,83
António Oliveira,77,80
António Oliveira,98,83
António Oliveira,123,83
António Oliveira,137,75
António Oliveira,161,56
António Oliveira,180,77
António Oliveira,212,80
António Oliveira,397,80
António Oliveira,403,75
António Oliveira,435,65
António Oliveira,447,73
António Oliveira,466,57
António Oliveira,486,66
António Oliveira,511,62
António Oliveira,531,57
António Oliveira,550,71
António Oliveira,563,71
Bruno Lopes,538,80
Cauan,33,59
Cauan,418,67
Cuca,3,70
Cuca,22,75
Cuca,45,80
Cuca,74,89
Cuca,90,79
Cuca,119,69
Cuca,131,78
Cuca,147,78
Cuca,195,72
Cuca,217,60
Cuca,233,76
Cuca,245,63
Cuca,268,77
Cuca,288,69
Cuca,296,89
Cuca,302,78
Cuca,328,84
Cuca,346,74
Cuca,361,57
Cuca,398,83
Cuca,409,66
Cuca,433,61
Cuca,442,68
Cuca,462,66
Cuca,479,73
Cuca,488,62
Cuca,521,67
Cuca,546,79
Cuca,554,74
Cuca,568,84
Cuca,586,61
Cuca,606,64
Cuca,637,77
Cuca,658,60
Cuca,698,86
Cuca,718,59
Cuca,734,81
Cuca,754,76
Dado Cavalcanti,1,76
Dado Cavalcanti,25,56
Dado Cavalcanti,39,82
Dado Cavalcanti,55,63
Dado Cavalcanti,68,75
Dado Cavalcanti,88,78
Dado Cavalcanti,112,67
Dado Cavalcanti,132,84
Dado Cavalcanti,153,79
Dado Cavalcanti,391,69
Dado Cavalcanti,412,71
Dado Cavalcanti,440,72
Dado Cavalcanti,459,74
Dado Cavalcanti,481,79
Dado Cavalcanti,499,74
Dado Cavalcanti,518,68
Diego Aguirre,69,[]
Diego Aguirre,94,57
Diego Aguirre,113,61
Diego Aguirre,128,67
Diego Aguirre,154,85
Diego Aguirre,198,68
Diego Aguirre,208,81
Diego Aguirre,239,45
Diego Aguirre,249,72
Diego Aguirre,263,58
Diego Aguirre,269,74
Diego Aguirre,292,89
Diego Aguirre,312,76
Diego Aguirre,332,75
Diego Aguirre,348,61
Diego Aguirre,367,76
Diego Aguirre,432,75
Diego Aguirre,443,45
Diego Aguirre,458,79
Diego Aguirre,477,65
Diego Aguirre,503,74
Diego Aguirre,523,79
Diego Aguirre,543,79
Diego Aguirre,553,70
Diego Aguirre,572,83
Diego Aguirre,597,[]
Diego Aguirre,603,61
Diego Aguirre,634,69
Diego Aguirre,663,57
Diego Aguirre,687,71
Diego Aguirre,700,70
Diego Aguirre,720,74
Diego Aguirre,759,60
Diego Dabove,179,81
Diego Dabove,196,76
Diego Dabove,555,[]
Diego Dabove,566,73
Diego Dabove,588,62
Diego Dabove,602,79
Diogo Giacomini,253,78
Eduardo Barroca,10,89
Eduardo Barroca,35,87
Eduardo Barroca,49,85
Eduardo Barroca,65,77
Eduardo Barroca,92,80
Eduardo Barroca,111,67
Eduardo Barroca,134,83
Eduardo Barroca,157,45
Eduardo Barroca,173,78
Eduardo Barroca,190,64
Eduardo Barroca,213,80
Eduardo Barroca,225,69
Eduardo Barroca,257,61
Eduardo Barroca,272,86
Eduardo Barroca,388,89
Eduardo Barroca,422,80
Eduardo Barroca,454,71
Eduardo Barroca,465,87
Eduardo Barroca,482,85
Eduardo Barroca,496,76
Eduardo Barroca,502,79
Eduardo Barroca,524,74
Eduardo Barroca,533,79
Eduardo Barroca,579,64
Eduardo Barroca,595,89
Eduardo Barroca,614,63
Eduardo Barroca,664,60
Eduardo Barroca,670,74
Eduardo Barroca,684,69
Eduardo Souza,622,45
Eduardo Zuma,532,69
Emerson Ávila,739,84
Felipe Endres,299,63
Felipe Endres,317,47
Felipe Endres,330,70
Felipe Endres,358,74
Felipe Endres,369,71
Felipe Endres,666,76
Felipe Endres,669,70
Felipe Endres,702,59
Felipe Endres,732,65
Felipe Endres,752,77
Fernando Diniz,12,86
Fernando Diniz,19,[]
Fernando Diniz,43,80
Fernando Diniz,62,84
Fernando Diniz,70,62
Fernando Diniz,86,82
Fernando Diniz,122,85
Fernando Diniz,140,[]
Fernando Diniz,163,[]
Fernando Diniz,168,78
Fernando Diniz,381,83
Fernando Diniz,414,65
Fernando Diniz,434,61
Fernando Diniz,456,73
Fernando Diniz,476,59
Fernando Diniz,494,45
Fernando Diniz,513,69
Fernando Diniz,558,57
Fábio Carille,186,69
Fábio Carille,240,60
Fábio Carille,264,45
Fábio Carille,275,67
Fábio Carille,294,69
Fábio Carille,303,74
Fábio Carille,322,71
Fábio Carille,341,60
Fábio Carille,375,60
Fábio Carille,577,77
Fábio Carille,589,76
Fábio Carille,611,78
Fábio Carille,625,74
Fábio Carille,639,62
Fábio Carille,657,70
Fábio Carille,689,73
Fábio Carille,713,71
Fábio Carille,728,78
Fábio Carille,748,85
Gustavo Florentín,167,75
Gustavo Florentín,192,70
Gustavo Florentín,211,59
Gustavo Florentín,224,80
Gustavo Florentín,232,77
Gustavo Florentín,259,85
Gustavo Florentín,284,72
Gustavo Florentín,306,85
Gustavo Florentín,327,82
Gustavo Florentín,357,87
Gustavo Florentín,370,83
Gustavo Florentín,560,86
Gustavo Florentín,575,59
Gustavo Florentín,601,74
Gustavo Florentín,630,81
Gustavo Florentín,653,67
Gustavo Florentín,656,62
Gustavo Florentín,673,86
Gustavo Florentín,696,81
Gustavo Florentín,725,[]
Gustavo Florentín,749,58
Guto Ferreira,4,71
Guto Ferreira,32,72
Guto Ferreira,53,79
Guto Ferreira,61,59
Guto Ferreira,84,80
Guto Ferreira,106,83
Guto Ferreira,135,70
Guto Ferreira,144,77
Guto Ferreira,162,78
Guto Ferreira,243,79
Guto Ferreira,271,62
Guto Ferreira,274,70
Guto Ferreira,297,75
Guto Ferreira,335,81
Guto Ferreira,343,77
Guto Ferreira,354,78
Guto Ferreira,360,76
Guto Ferreira,392,78
Guto Ferreira,406,81
Guto Ferreira,420,86
Guto Ferreira,453,71
Guto Ferreira,473,84
Guto Ferreira,483,70
Guto Ferreira,504,75
Guto Ferreira,529,62
Guto Ferreira,551,62
Guto Ferreira,615,71
Guto Ferreira,633,72
Guto Ferreira,659,59
Guto Ferreira,688,68
Guto Ferreira,707,67
Guto Ferreira,729,67
Guto Ferreira,753,79
Hernán Crespo,2,73
Hernán Crespo,28,59
Hernán Crespo,46,76
Hernán Crespo,83,62
Hernán Crespo,101,77
Hernán Crespo,107,69
Hernán Crespo,127,[]
Hernán Crespo,148,69
Hernán Crespo,199,79
Hernán Crespo,203,81
Hernán Crespo,206,85
Hernán Crespo,231,84
Hernán Crespo,390,76
Hernán Crespo,402,58
