,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,dict_values(['Cuiabá']),dict_values(['Alberto Valentim']),dict_values(['Juventude']),dict_values(['Marquinhos Santos']),dict_values(['2']),dict_values(['2']),"dict_values([['Walter', 'Lucas Ramon', 'Marllon Borges', 'Anderson Conceição', 'João Pedro Pepê', 'Uendel', 'Jonathan Cafu', 'Rafael Gava', 'Élton Rodrigues Brandão', 'Clayson', 'Camilo']])","dict_values([['Marcelo Carné', 'Michel', 'Vitor Mendes', 'Rafael Forster', 'João Paulo', 'Alyson', 'Capixaba', 'Guilherme Carvalho', 'Matheus Peixoto', 'Wescley', 'Chico']])","dict_values([['João Carlos', 'João Lucas', 'Paulão', 'José Walber', 'Lucas Hernández', 'Auremir', 'Papagaio', 'Felipe Marques', 'Murilo Rangel', 'Guilherme Pato', 'Joaquim', 'Raulzinho']])","dict_values([['William', 'Cleberson', 'Paulo Henrique', 'Elton', 'Matheus Jesus', 'Marcos Vinicios', 'Fernando Pacheco Rivas', 'Bruninho', 'Matheus Cotulio Bossa', 'Dudu', 'Edwin Mosquera', 'Eltinho']])","dict_values([('Lucas Ramon', 'João Lucas')])",45,"dict_values([('Rafael Gava', 'Guilherme Pato')])",70,"dict_values([('Clayson', 'Papagaio')])",79,"dict_values([('Jonathan Cafu', 'Felipe Marques')])",82,dict_values([]),[],"dict_values([('Chico', 'Marcos Vinicios')])",75,"dict_values([('Michel', 'Paulo Henrique')])",75,"dict_values([('Matheus Peixoto', 'Fernando Pacheco Rivas')])",88,"dict_values([('Capixaba', 'Elton')])",89,"dict_values([('Alyson', 'Eltinho')])",89
1,dict_values(['Bahia']),dict_values(['Dado Cavalcanti']),dict_values(['Santos']),dict_values(['Fernando Diniz']),dict_values(['3']),dict_values(['0']),"dict_values([['Mateus Claus', 'Germán Conti', 'Rossi', 'Danielzinho', 'Gilberto', 'Rodriguinho Marinho', 'Thaciano', 'Juninho', 'Renan Guedes', 'Patrick de Lucca', 'Matheus Bahia']])","dict_values([['João Paulo', 'Felipe Jonatan', 'Pará', 'Alison', 'Kaio Jorge', 'Marinho', 'Luan Peres Petroni', 'Gabriel Pirani', 'Kaiky', 'Lucas Braga', 'Jean Mota']])","dict_values([['Douglas Friedrich', 'Júnior Dênis', 'Luiz Otávio', 'Óscar Ruiz', 'Matheus Galdezani', 'Alesson', 'Thonny Anderson', 'Jonas', 'Lucas Fonseca', 'Juninho Capixaba', 'Lucas Araujo', 'Maycon']])","dict_values([['Vladimir', 'John', 'Luis Felipe', 'Mádson', 'Jonathan Copete', 'Vinicius', 'Marcos Guilherme', 'Kevin Malthus', 'Ângelo Borges', 'Marcos Leonardo Almeida', 'Moraes', 'Ivonei']])","dict_values([('Rodriguinho Marinho', 'Maycon')])",73,"dict_values([('Gilberto', 'Thonny Anderson')])",73,"dict_values([('Patrick de Lucca', 'Jonas')])",76,"dict_values([('Thaciano', 'Lucas Araujo')])",85,"dict_values([('Danielzinho', 'Matheus Galdezani')])",85,"dict_values([('Kaiky', 'Marcos Guilherme')])",73,"dict_values([('Pará', 'Mádson')])",73,"dict_values([('Kaio Jorge', 'Marcos Leonardo Almeida')])",83,"dict_values([('Lucas Braga', 'Ângelo Borges')])",85,dict_values([]),[]
2,dict_values(['São']),dict_values(['Hernán Crespo']),dict_values(['Fluminense']),dict_values(['Roger Machado']),dict_values(['0']),dict_values(['0']),"dict_values([['Tiago Volpi', 'Igor Vinícius de Souza', 'Bruno Fabiano Alves', 'Reinaldo', 'Pablo', 'Luan', 'Liziero', 'Léo Pelé', 'Gabriel', 'Miranda', 'Igor Gomes']])","dict_values([['Marcos Felipe', 'Samuel Xavier', 'Luccas Claro', 'Egídio Pereira Júnior', 'Yago', 'Abel Hernández', 'Nino', 'Matheus Martinelli', 'Gabriel Teixeira', 'Caio Paulista', 'Nenê']])","dict_values([['Lucas Perri', 'Diego', 'Joao Rojas', 'Luciano', 'Vitor Bueno', 'Hernanes', 'William da Silva', 'Shaylon', 'Éder', 'Rodrigo Nestor', 'Antonio Galeano', 'Welington']])","dict_values([['Muriel Becker', 'Lucca', 'Wellington Martins', 'Ganso', 'Juan Cazares', 'Danilo Barcelos', 'Raúl Bobadilla', 'Manoel', 'Lucas Felipe Calegari', 'Luiz Henrique', 'Kayky Chagas', 'David Braz']])","dict_values([('Igor Gomes', 'Joao Rojas')])",45,"dict_values([('Pablo', 'Luciano')])",55,"dict_values([('Gabriel', 'Shaylon')])",73,"dict_values([('Liziero', 'Éder')])",84,dict_values([]),[],"dict_values([('Caio Paulista', 'Raúl Bobadilla')])",73,"dict_values([('Abel Hernández', 'Kayky Chagas')])",74,"dict_values([('Nenê', 'Juan Cazares')])",84,"dict_values([('Gabriel Teixeira', 'Luiz Henrique')])",84,"dict_values([('Yago', 'Wellington Martins')])",88
3,dict_values(['Atlético']),dict_values(['Cuca']),dict_values(['Fortaleza']),dict_values(['Juan Pablo Vojvoda']),dict_values(['1']),dict_values(['2']),"dict_values([['Éverson', 'Guga', 'Júnior Alonso', 'Hulk', 'Guilherme Arana', 'Igor Rabello', 'Ignacio Fernández', 'Allan', 'Tchê Tchê', 'Marrony', 'Jefferson Savarino']])","dict_values([['Felipe Alves Raymundo', 'Guilherme Tinga', 'Marcelo', 'Robson', 'Wellington Paulista', 'Lucas Crispim', 'Éderson', 'Felipe', 'Daniel Guedes', 'Titi', 'Matheus de Vargas']])","dict_values([['Matheus Mendes', 'Réver', 'Dodô', 'Jair', 'Eduardo Vargas', 'Federico Zaracho', 'Hyoran', 'Nathan', 'Mariano', 'Gabriel', 'Sávio', 'Luis Otávio Echaporã']])","dict_values([['Marcelo Boeck', 'Carlinhos', 'Luiz Henrique', 'Osvaldo', 'Ronald', 'Jussa', 'David', 'Romarinho', 'Yago Pikachu', 'Bruno Melo', 'Wanderson']])","dict_values([('Allan', 'Federico Zaracho')])",62,"dict_values([('Jefferson Savarino', 'Sávio')])",62,"dict_values([('Ignacio Fernández', 'Nathan')])",70,"dict_values([('Marrony', 'Eduardo Vargas')])",70,"dict_values([('Guga', 'Hyoran')])",87,"dict_values([('Daniel Guedes', 'Yago Pikachu')])",45,"dict_values([('Wellington Paulista', 'Romarinho')])",65,"dict_values([('Robson', 'David')])",65,"dict_values([('Felipe', 'Jussa')])",83,"dict_values([('Lucas Crispim', 'Bruno Melo')])",87
4,dict_values(['Ceará']),dict_values(['Guto Ferreira']),dict_values(['Grêmio']),dict_values(['Tiago Nunes']),dict_values(['3']),dict_values(['2']),"dict_values([['João Ricardo Riedi', 'Messias', 'Gabriel Lacerda', 'Jorginho', 'Willian', 'Marcos Ytalo', 'Pedrinho', 'Rick', 'Kelvyn', 'Saulo da Silva', 'Cléber']])","dict_values([['Brenno', 'Pedro Geromel', 'Thiago dos Santos', 'Matheus Henrique', 'Lucas Silva', 'Léo Chú', 'Diogo Barbosa', 'Vanderson', 'Leo Augusto', 'Ruan', 'Ricardinho']])","dict_values([['Vinícius Machado', 'André Luiz', 'Yony González', 'Fernando Sobral', 'Geovane', 'Alan', 'Wendson', 'Marlon', 'Charles Rigon Matos', 'Willian Klaus', 'João Victor', 'Alessandro']])","dict_values([['Paulo Victor Vidotti', 'Victor Ferraz', 'Walter Kannemann', 'Maicon Souza', 'Bruno Cortez', 'Darlan Mendes', 'Gui Azevedo', 'Éverton', 'Jhonata Robert', 'Paulo Miranda', 'Victor Bobsin', 'Jean Pyerre']])","dict_values([('João Ricardo Riedi', 'Vinícius Machado')])",45,"dict_values([('Saulo da Silva', 'Yony González')])",45,"dict_values([('Cléber', 'João Victor')])",71,"dict_values([('Pedrinho', 'Charles Rigon Matos')])",75,"dict_values([('Rick', 'Wendson')])",75,"dict_values([('Diogo Barbosa', 'Bruno Cortez')])",45,"dict_values([('Leo Augusto', 'Jhonata Robert')])",45,"dict_values([('Lucas Silva', 'Jean Pyerre')])",45,"dict_values([('Léo Chú', 'Gui Azevedo')])",89,dict_values([]),[]
5,dict_values(['Flamengo']),dict_values(['Rogério Ceni']),dict_values(['Palmeiras']),dict_values(['Abel Ferreira']),dict_values(['1']),dict_values(['0']),"dict_values([['Diego Alves', 'Rodrigo Caio', 'Willian Arão', 'Everton Ribeiro', 'Gerson', 'Diego', 'Giorgian De Arrascaeta', 'Filipe Luís', 'Pedro', 'Bruno Henrique', 'Mauricio Isla']])","dict_values([['Wéverton', 'Patrick de Paula', 'Rony', 'Luiz Adriano', 'Luan Garcia', 'Gustavo Gómez', 'Matías Viña', 'Raphael Veiga', 'Gabriel Menino', 'Felipe Melo', 'Alan Empereur']])","dict_values([['Gabriel Batista', 'Hugo Souza', 'Gustavo Henrique', 'Léo Pereira', 'Vitinho', 'Hugo Moura', 'Michael', 'Bruno Viana', 'Matheuzinho', 'João Gomes', 'Ramon', 'Rodrigo Muniz']])","dict_values([['Jailson', 'Lucas Esteves', 'Zé Rafael', 'Wesley', 'Gustavo Scarpa', 'Danilo Barbosa', 'Lucas Lima', 'Victor Luis', 'Danilo', 'Willian', 'García', 'Michel']])","dict_values([('Everton Ribeiro', 'Vitinho')])",76,"dict_values([('Diego', 'Hugo Moura')])",86,"dict_values([('Giorgian De Arrascaeta', 'Michael')])",86,"dict_values([('Pedro', 'Rodrigo Muniz')])",89,dict_values([]),[],"dict_values([('Felipe Melo', 'Danilo')])",53,"dict_values([('Raphael Veiga', 'Gustavo Scarpa')])",60,"dict_values([('Patrick de Paula', 'Zé Rafael')])",61,"dict_values([('Luiz Adriano', 'Wesley')])",61,"dict_values([('Matías Viña', 'Victor Luis')])",75
6,dict_values(['Chapecoense']),dict_values(['Mozart Batista']),dict_values(['Bragantino']),dict_values(['Maurício Barbieri']),dict_values(['0']),dict_values(['3']),"dict_values([['Tiepo', 'Matheus Ribeiro', 'Laércio', 'Moisés Ribeiro', 'Busanello', 'Anselmo Ramon', 'Ronei', 'Mike', 'Anderson Leite', 'Derlan', 'Pedro Perotti']])","dict_values([['Cleiton Schwengber', 'Leo Ortiz', 'Artur', 'Lucas Evangelista', 'Claudinho', 'Helio Junio', 'Aderlan Silva', 'Fabrício Bruno', 'Ytalo', 'Eric Ramires', 'Luan Cândido']])","dict_values([['João Paulo', 'Bruno Silva', 'Foquinho', 'Fernandinho', 'Ravanelli', 'Felipe Santana', 'Tiago Coser', 'Lima', 'Fabinho', 'Geuvânio', 'Mancha', 'Kaio Nunes']])","dict_values([['Júlio César', 'Maycon', 'Ligger', 'Edimar Fraga', 'Chrigor Flore', 'Natan', 'Ricardo', 'Weverson', 'Jan Carlos Hurtado', 'Tomás Cuello', 'Pedrinho', 'Gabriel Novaes']])","dict_values([('Ronei', 'Lima')])",45,"dict_values([('Pedro Perotti', 'Geuvânio')])",64,"dict_values([('Mike', 'Ravanelli')])",64,"dict_values([('Anderson Leite', 'Bruno Silva')])",86,dict_values([]),[],"dict_values([('Ytalo', 'Gabriel Novaes')])",64,"dict_values([('Helio Junio', 'Tomás Cuello')])",79,"dict_values([('Lucas Evangelista', 'Ricardo')])",79,"dict_values([('Leo Ortiz', 'Natan')])",87,"dict_values([('Claudinho', 'Pedrinho')])",87
7,dict_values(['Atl']),dict_values(['Paulo Autuori']),dict_values(['América']),dict_values(['Lisca']),dict_values(['1']),dict_values(['0']),"dict_values([['Santos', 'Jádson', 'Nikão', 'Khellven', 'Abner', 'Richard', 'Vitinho', 'Pedro Henrique', 'Thiago Heleno', 'Renato Kayser', 'Christian']])","dict_values([['MG', 'Matheus Cavichioli', 'Diego', 'Eduardo Gabriel', 'Anderson Jesus', 'Zé Ricardo', 'Marlon', 'Felipe Azevedo', 'Juninho', 'Rodolfo', 'Bruno Nazário']])","dict_values([['Anderson', 'Marcinho', 'Márcio Azevedo', 'Nicolas', 'Jaime Alvarado', 'Léo Cittadini', 'Matheus Babi', 'Felipe Aguilar', 'Zé Ivaldo', 'Fernando Canesin', 'David Terans', 'Carlos Eduardo']])","dict_values([['Banco', 'Airton Moraes', 'Alan Ruschel', 'Ricardo Silva', 'Juninho', 'Eduardo', 'Sabino', 'Ademir Santos', 'Ribamar', 'Geovane', 'Carlos Alberto', 'Ramon']])","dict_values([('Jádson', 'Carlos Eduardo')])",58,"dict_values([('Renato Kayser', 'Matheus Babi')])",59,"dict_values([('Vitinho', 'David Terans')])",77,"dict_values([('Khellven', 'Marcinho')])",85,"dict_values([('Christian', 'Léo Cittadini')])",86,"dict_values([('Felipe Azevedo', 'Ramon')])",62,"dict_values([('Bruno Nazário', 'Geovane')])",63,"dict_values([('Rodolfo', 'Ademir Santos')])",79,"dict_values([('Marlon', 'Alan Ruschel')])",83,dict_values([]),[]
8,dict_values(['Corinthians']),dict_values(['Thiago Mendes']),dict_values(['Atl']),dict_values(['Eduardo Barroca']),dict_values(['0']),dict_values(['1']),"dict_values([['Cássio', 'Gil', 'Lucas Piton', 'Luan Vieira', 'Ramiro Benetti', 'Gustavo Mosquito', 'Guilherme Camacho', 'Mateus Vital', 'Fagner', 'Budiga', 'Raul Bicalho']])","dict_values([['Fernando Miguel', 'Luis Eduardo Marques dos Santos', 'Nathan Silva', 'Eder', 'Willian Maranhão', 'Igor Cariús', 'Ronald', 'Marlon Freitas', 'Zé Roberto', 'João Paulo Alves', 'Natanael']])","dict_values([['Matheus Donelli', 'Léo Santos', 'Bruno Méndez', 'Léo Natel', 'Ángelo Araos', 'Víctor Cantillo', 'Fábio Santos', 'Adson', 'João Victor', 'Vitinho', 'Luis Mandaca', 'Jô']])","dict_values([['Leonardo', 'Arnaldo', 'Michel Custódio', 'Lucas Oliveira', 'Carlos', 'Gabriel Baralhas', 'Matheus Oliveira Santos', 'Pablo Dyego', 'Rodrigues', 'Lucas Melão Lucão']])","dict_values([('Budiga', 'Ángelo Araos')])",59,"dict_values([('Guilherme Camacho', 'Víctor Cantillo')])",72,"dict_values([('Mateus Vital', 'Adson')])",72,"dict_values([('Luan Vieira', 'Jô')])",82,dict_values([]),[],"dict_values([('Zé Roberto', 'Lucas Melão Lucão')])",84,"dict_values([('Ronald', 'Arnaldo')])",87,"dict_values([('João Paulo Alves', 'Gabriel Baralhas')])",89,dict_values([]),[],dict_values([]),[]
9,dict_values(['Internacional']),dict_values(['Miguel Ángel Ramírez']),dict_values(['Sport']),dict_values(['Umberto Lourenço Louzer Filho ']),dict_values(['2']),dict_values(['2']),"dict_values([['Marcelo Lomba', 'Edenílson', 'Taison', 'Yuri Alberto', 'Lucas Ribeiro', 'Víctor Cuesta', 'Rodrigo Lindoso', 'Moisés', 'Renzo Saravia', 'Mauricio', 'Caio Vidal']])","dict_values([['Mailson', 'Hayner', 'Júnior Tavares', 'Rafael Thyere', 'Ricardinho', 'Thiago Neves', 'José Sabino', 'Sander', 'Marcão Silva', 'Paulinho Moccelin', 'Mikael']])","dict_values([['Anthoni', 'Heitor', 'Paolo Guerrero', 'Carlos Palacios', 'Thiago Galhardo', 'Bruno Praxedes', 'Johnny Cardoso', 'Nonato', 'Zé Gabriel', 'Leonardo Borges', 'Pedro Henrique', 'Patrick']])","dict_values([['Luan Polli', 'Ronaldo Henrique', 'Santiago Tréllez', 'Patric Cabral Lalau', 'José Welison', 'Betinho', 'Gustavo', 'Chico', 'Victor Gabriel', 'Maxwell', 'André', 'Marquinhos']])","dict_values([('Edenílson', 'Nonato')])",72,"dict_values([('Mauricio', 'Bruno Praxedes')])",72,"dict_values([('Yuri Alberto', 'Thiago Galhardo')])",77,"dict_values([('Caio Vidal', 'Patrick')])",83,"dict_values([('Taison', 'Carlos Palacios')])",83,"dict_values([('Mikael', 'André')])",45,"dict_values([('Sander', 'Marquinhos')])",45,"dict_values([('Paulinho Moccelin', 'Maxwell')])",77,"dict_values([('Thiago Neves', 'Gustavo')])",84,"dict_values([('Ricardinho', 'José Welison')])",89
