R�tulos de Linha;M�dia de tempo;;;
Miguel Ángel Ramírez;72;;;
Fernando Diniz;70,31818182;;;
Osmar Loss Vieira;69,81818182;;;
Maurício Barbieri;69,71428571;;;
Marquinhos Santos;69,50961538;;;
Marcão;69,05555556;;;
Paulo Autuori;69;;;
Renato Gaúcho;68,71428571;;;
António Oliveira;68,6122449;;;
Rogério Ceni;68,52459016;;;
Roger Machado;68,2972973;;;
Cuca;68,26126126;;;
Diogo Giacomini;68;;;
Guto Ferreira;67,94736842;;;
Dado Cavalcanti;67,87755102;;;
Sylvinho;67,3956044;;;
Eduardo Barroca;66,60273973;;;
James Freitas;66;;;
Alberto Valentim;65,70833333;;;
Hernán Crespo;65,53968254;;;
Juan Pablo Vojvoda;65,27358491;;;
Umberto Lourenço Louzer Filho ;65,15217391;;;
Gustavo Florentín;65,12962963;;;
Abel Ferreira;65,10091743;;;
Emerson Ávila;65;;;
Diego Dabove;64,83333333;;;
Vágner Mancini;64,80582524;;;
Mozart Batista;64,75;;;
Tiago Nunes;64,44303797;;;
Luiz Felipe Scolari;64,43902439;;;
Lisca;63,28571429;;;
Felipe Endres;62,55172414;;;
Jorginho;61,55102041;;;
Fábio Carille;61,37037037;;;
Jair Ventura;61,36363636;;;
Diego Aguirre;61,18072289;;;
Maurício Ferreira De Souza;61;;;
Cauan;60,5;;;
Eduardo Zuma;60;;;
Marcelo Cabo;59,17857143;;;
Pintado;58,48780488;;;
Luiz Fernando Iubel;57,55555556;;;
Bruno Lopes;54;;;
Thiago Gomes Pacheco;45;;;
Eduardo Souza;44;;;
Total Geral;65,82240306;;;
